,Title,Rating
621,14 Blades,6.3
623,Bad Blood,7.5
624,Bangkok Knockout,5.4
625,Batman: Under the Red Hood,8.0
626,Blades of Blood,5.9
627,The Book of Eli,6.8
628,The Bounty Hunter,5.5
629,"The Butcher, the Chef and the Swordsman",5.6
630,Cop Out,5.5
631,Death Race 2,6.2
632,Date Night,6.3
633,Faster,6.4
634,From Paris With Love,6.4
635,Gothic & Lolita Psycho,5.3
636,Hunt to Kill,5.1
637,Ip Man 2,7.5
638,Just Call Me Nobody,4.0
639,Justice League: Crisis on Two Earths,7.2
640,Kick-Ass,7.6
642,The King of Fighters,3.1
643,Knight and Day,6.3
644,Little Big Soldier,6.9
646,Machete,6.6
647,The Man from Nowhere,6.3
648,Mutant Girls Squad,5.7
649,Ong Bak 3,4.9
650,Operation: Endgame,4.9
651,Piranha 3D,5.5
652,Point Blank,7.3
653,Red robert schwentke,
654,The Red Eagle,5.5
655,Reign of Assassins,6.8
657,Sinners and Saints,7.2
659,The Spy Next Door,5.4
660,The Stool Pigeon,6.7
661,Superman/Batman: Apocalypse,7.0
662,Tekken,4.8
663,True Legend,6.4
664,Undisputed III: Redemption,7.3
666,Vampire Warriors,4.0
667,The Warrior's Way,6.2
668,Yamada: The Samurai of Ayothaya,5.8
669,The Yellow Sea,7.3
670,30 Minutes or Less,6.1
671,All-Star Superman,6.8
672,Amsterdam Heavy,2.6
673,Bangkok Revenge,4.9
674,Batman: Year One,7.3
675,Battlefield Heroes,5.4
676,Bbuddah Hoga Terra Baap,5.6
677,Bodyguard,8.1
678,Colombiana,6.4
679,Contagion,6.8
680,Countdown huh jong ho,
681,Don 2: The King is Back,7.1
682,Fast Five,7.3
683,Flying Swords of Dragon Gate,5.9
684,The Green Hornet,5.8
685,Green Lantern: Emerald Knights,6.7
687,He-Man,7.5
688,Hobo with a Shotgun,6.1
689,Karate Girl,3.5
690,Karate-Robo Zaborgar,6.3
691,The Kick,3.7
692,Killer Elite,6.4
693,Largo Winch II,6.1
